Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
2,ERJ-3EKF2200V,Panasonic,ERJ-3EKF2200V,https://octopart.com/erj-3ekf2200v-panasonic-12588713,"R1, R11",,Res Thick Film 0603 220 Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Punched Carrier T/R,2,P220HCT-ND,ERJ-3EKF2200V,ERJ-3EKF2200V,Cut Tape,Cut Tape,,0.1,0.0789,0.27,527937,10684,164270,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=0a2b966&sid=459&ppid=12588713&vpid=115259514&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=09eea81&sid=1106&ppid=12588713&vpid=473400026&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0ec5594&sid=2401&ppid=12588713&vpid=115231413&ct=offers,Distrelec,ERJ3EKF2200V,,0.05551695519342535,0.1110339103868507,0.1110339103868507,39968,1,https://octopart.com/click/track?ak=68b25f31&sig=04083bf&sid=14389&ppid=12588713&vpid=263455744&ct=offers,
6,ERJ-3GEY0R00V,Panasonic,ERJ-3GEY0R00V,https://octopart.com/erj-3gey0r00v-panasonic-55389238,"JP1, JP2, JP3, JP4, JP5, JP6",,RES SMD 0 OHM JUMPER 1/10W 0603,6,P0.0GCT-ND,ERJ-3GEY0R00V,ERJ-3GEY0R00V,Cut Tape,Cut Tape,,0.1,0.095,0.18,34370088,3640,2117739,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=0908af0&sid=459&ppid=55389238&vpid=188062070&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=048a015&sid=1106&ppid=55389238&vpid=473400694&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=031bff8&sid=2401&ppid=55389238&vpid=187840237&ct=offers,Quest,ERJ-3GEY0R00V,,0.015,0.09,0.09,86646,,https://octopart.com/click/track?ak=68b25f31&sig=0c4a5e2&sid=2412&ppid=55389238&vpid=189207553&ct=offers,
5,825433-3,TE Connectivity,825433-3,https://octopart.com/825433-3-te+connectivity-40939456,"J8, J9, J10, J11, J12",,Pin header; pin strips; AMPMODU MOD II; male; PIN: 3; straight,5,A106465-ND,825433-3,825433-3,Box,,Bulk,0.62,0.3261,0.61,1840,33461,4492,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=01d68b5&sid=459&ppid=40939456&vpid=52501892&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=00261bb&sid=1106&ppid=40939456&vpid=114977087&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0787e8c&sid=2401&ppid=40939456&vpid=115232091&ct=offers,LCSC,C306148,,0.1759,0.8795,0.8795,1500,1,https://octopart.com/click/track?ak=68b25f31&sig=00c4dfd&sid=27971&ppid=40939456&vpid=507552606&ct=offers,
1,825433-6,TE Connectivity,825433-6,https://octopart.com/825433-6-te+connectivity-42271388,J6,,Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Thru-Hole - No Outline,1,A106731-ND,825433-6,825433-6,Bulk,,Bulk,1.04,0.8601,1,1627,2543,326,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=074b0e2&sid=459&ppid=42271388&vpid=52501895&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0a07ebc&sid=1106&ppid=42271388&vpid=473471946&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0a1d0a7&sid=2401&ppid=42271388&vpid=115160046&ct=offers,Avnet Europe,825433-6,,0.516881996628443,0.516881996628443,0.516881996628443,7114,1,https://octopart.com/click/track?ak=68b25f31&sig=0326edf&sid=15544&ppid=42271388&vpid=263277885&ct=offers,
3,OSTVN02A150,On Shore Technology,OSTVN02A150,https://octopart.com/ostvn02a150-on+shore+technology-19236851,"J2, J3, J4",,Terminal 2 pinos,3,ED10561-ND,OSTVN02A150,,Bulk,,,0.91,0.7181,,32751,3973,,1,1,,https://octopart.com/click/track?c=1&ak=68b25f31&sig=0483980&sid=459&ppid=19236851&vpid=44863463&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=00d1a6d&sid=1106&ppid=19236851&vpid=474901354&ct=offers,,"Arrow Electronics, Inc.",OSTVN02A150,,0.7181,2.1543,2.1543,3973,1,https://octopart.com/click/track?ak=68b25f31&sig=00d1a6d&sid=1106&ppid=19236851&vpid=474901354&ct=offers,
1,XT60 YELLOW,Pololu,XT60 YELLOW,https://octopart.com/xt60+yellow-pololu-52633801,J1,,Power connector; 65A; PIN: 2; Module: yellow,1,,,,,,,,,,,,,,,,,,,TME,POLOLU-2175,,2.08,2.08,2.08,152,1,https://octopart.com/click/track?ak=68b25f31&sig=0c39e99&sid=1532&ppid=52633801&vpid=178057804&ct=offers,
12,MURA110T3G,ON Semiconductor,MURA110T3G,https://octopart.com/mura110t3g-on+semiconductor-332340,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12",,"Surface Mount Ultrafast Power Rectifier, 2-Pin SMA, Pb-Free, Tape and Reel",12,MURA110T3GOSCT-ND,MURA110T3G,MURA110T3G,Cut Tape,Cut Tape,,0.319,0.323,0.34,30382,5415,63536,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=0b1b977&sid=459&ppid=332340&vpid=1848935&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0ada1ca&sid=1106&ppid=332340&vpid=473371714&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=027bc35&sid=2401&ppid=332340&vpid=44861798&ct=offers,Rochester Electronics,MURA110T3G,,0.25,3,3,865000,,https://octopart.com/click/track?ak=68b25f31&sig=071d3a2&sid=5832&ppid=332340&vpid=84990740&ct=offers,
4,CL10A105KB8NNNC,Samsung,CL10A105KB8NNNC,https://octopart.com/cl10a105kb8nnnc-samsung-23919125,"C5, C9, C13, C17",,"MURATA   GRM188R61H105KAALD   CAP, MLCC, X5R, 1UF, 50V, 0603",4,1276-1860-1-ND,CL10A105KB8NNNC,,Cut Tape,Cut Tape,,0.16,0.2144,,2261,38543,,1,1,,https://octopart.com/click/track?ak=68b25f31&sig=025bcf6&sid=459&ppid=23919125&vpid=72523544&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=028cd50&sid=1106&ppid=23919125&vpid=476784369&ct=offers,,Digi-Key,1276-1860-1-ND,Cut Tape,0.16,0.64,0.64,2261,1,https://octopart.com/click/track?ak=68b25f31&sig=025bcf6&sid=459&ppid=23919125&vpid=72523544&ct=offers,
6,EEE-FK1H100UR,Panasonic,EEEFK1H100UR,https://octopart.com/eeefk1h100ur-panasonic-4642840,"C4, C7, C8, C11, C12, C16",,Cap Aluminum Lytic 10uF 50V 20% (5 X 5.8mm) SMD 85mA 2000h 105°C Automotive T/R,6,PCE3808CT-ND,EEEFK1H100UR,EEEFK1H100UR,Cut Tape,Cut Tape,,0.43,0.3705,0.39,124778,860,20845,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=01c5d88&sid=459&ppid=4642840&vpid=114961166&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=062be79&sid=1106&ppid=4642840&vpid=474279482&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=01f5add&sid=2401&ppid=4642840&vpid=114999149&ct=offers,LCSC,C178547,,0.0852,0.5112,0.5112,865,5,https://octopart.com/click/track?ak=68b25f31&sig=06510d4&sid=27971&ppid=4642840&vpid=484249816&ct=offers,
2,EEE-FC1H101P,Panasonic,EEE-FC1H101P,https://octopart.com/eee-fc1h101p-panasonic-39481120,"C2, C15",,Capacitor; Alum Electrolytic; Cap 100 uF; Tol 20%; Vol-Rtg 50 VDC; SMT; 10x10.2; CT,2,PCE4013CT-ND,EEE-FC1H101P,EEE-FC1H101P,Cut Tape,Cut Tape,,0.73,0.4649,0.66,34317,227,2731,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=013bc85&sid=459&ppid=39481120&vpid=114961088&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0c7e480&sid=1106&ppid=39481120&vpid=478617772&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0b458c8&sid=2401&ppid=39481120&vpid=115534287&ct=offers,"Arrow Electronics, Inc.",EEE-FC1H101P,Cut Tape,0.4649,0.9298,0.9298,227,1,https://octopart.com/click/track?ak=68b25f31&sig=0c7e480&sid=1106&ppid=39481120&vpid=478617772&ct=offers,
5,06035L104K4T2A,AVX,06035L104K4T2A,https://octopart.com/06035l104k4t2a-avx-12980764,"C1, C6, C10, C14, C18",,"0.1µF Surface Mount, MLCC 0603 (1608 Metric) Package Ceramic Capacitors",5,478-6103-1-ND,06035L104K4T2A,06035L104K4T2A,Cut Tape,Cut Tape,,0.56,0.4655,0.49,40000,3950,32000,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=06e5a7b&sid=459&ppid=12980764&vpid=34028148&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=08e5174&sid=1106&ppid=12980764&vpid=473080398&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=070b7f1&sid=2401&ppid=12980764&vpid=40480451&ct=offers,element14 APAC,1867968,,0.0679731983125292,0.33986599156264596,0.33986599156264596,0,5,https://octopart.com/click/track?c=1&ak=68b25f31&sig=0997260&sid=11744&ppid=12980764&vpid=132126497&ct=offers,
1,75869-131LF,FCI,75869-131LF,https://octopart.com/75869-131lf-fci-39616169,AVR-ISP,,CONN HEADER 6POS DUAL VERT PCB,1,609-2845-ND,,75869-131LF,Bag,,Bulk,0.74,,0.75,19397,,5653,1,,1,https://octopart.com/click/track?ak=68b25f31&sig=06ab03a&sid=459&ppid=39616169&vpid=114947866&ct=offers,,https://octopart.com/click/track?ak=68b25f31&sig=0e64419&sid=2401&ppid=39616169&vpid=115156826&ct=offers,Onlinecomponents.com,75869-131LF,Bulk,0.366,0.366,0.366,1592,1,https://octopart.com/click/track?ak=68b25f31&sig=0d217e8&sid=2429&ppid=39616169&vpid=472617152&ct=offers,
3,LTST-C190KRKT,Lite-On,LTST-C190KRKT,https://octopart.com/ltst-c190krkt-lite-on-549893,"5V, Vmotor, Vout",,LED; SMD; 0603; red; 18-180mcd; 1.6x0.8x0.8mm; 130°; 1.6÷2.4V; 20mA,3,160-1436-1-ND,LTST-C190KRKT,LTST-C190KRKT,Cut Tape,Cut Tape,,0.27,0.2375,0.25,1044501,10573,372428,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=0fbf687&sid=459&ppid=549893&vpid=1060504&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0034ba5&sid=1106&ppid=549893&vpid=473278340&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0521c0e&sid=2401&ppid=549893&vpid=37628911&ct=offers,Future Electronics,LTST-C190KRKT-CUTT,Cut Tape,0.082,0.246,0.246,3669,1,https://octopart.com/click/track?ak=68b25f31&sig=03f211b&sid=2454&ppid=549893&vpid=504210950&ct=offers,
2,PWR163S-25-R500F,Bourns,PWR163S-25-R500F,https://octopart.com/pwr163s-25-r500f-bourns-18818985,,,,2,PWR163S-25-R500F-ND,PWR163S-25-R500F,PWR163S-25-R500F,Tube,,Tube,3.09,2.417,2.95,2012,514,487,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=0e334ec&sid=459&ppid=18818985&vpid=34240300&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=011a8a0&sid=1106&ppid=18818985&vpid=473162347&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0675177&sid=2401&ppid=18818985&vpid=63856013&ct=offers,"Arrow Electronics, Inc.",PWR163S-25-R500F,,2.417,4.834,4.834,514,1,https://octopart.com/click/track?ak=68b25f31&sig=011a8a0&sid=1106&ppid=18818985&vpid=473162347&ct=offers,
